#Core: EthernetSystem_sdram_phy - Instance: EthernetSystem_Instance|sdram|EthernetSystem_sdram_controller_phy_inst|EthernetSystem_sdram_phy_inst
#Path, Setup Margin, Hold Margin
"Address Command (Slow 900mV 85C Model)",1.448,0.778
"Half Rate Address/Command (Slow 900mV 85C Model)",4.745,0.713
"Phy (Slow 900mV 85C Model)",0.721,0.245
"Phy Reset (Slow 900mV 85C Model)",0.300,0.531
"Read Capture (Slow 900mV 85C Model)",-0.010,0.578
"Read Resync (All Conditions)",0.658,0.809
"Write (Slow 900mV 85C Model)",0.213,0.310
 
"Address Command (Slow 900mV 0C Model)",1.540,0.742
"Half Rate Address/Command (Slow 900mV 0C Model)",4.839,0.683
"Phy (Slow 900mV 0C Model)",0.779,0.219
"Phy Reset (Slow 900mV 0C Model)",0.359,0.515
"Read Capture (Slow 900mV 0C Model)",0.068,0.509
"Read Resync (All Conditions)",0.664,0.815
"Write (Slow 900mV 0C Model)",0.234,0.313
 
"Address Command (Fast 900mV 0C Model)",1.804,0.624
"Half Rate Address/Command (Fast 900mV 0C Model)",5.103,0.566
"Phy (Fast 900mV 0C Model)",1.247,0.110
"Phy Reset (Fast 900mV 0C Model)",1.061,0.276
"Read Capture (Fast 900mV 0C Model)",0.085,0.638
"Read Resync (All Conditions)",0.691,0.842
"Write (Fast 900mV 0C Model)",0.291,0.351
