what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393318279484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393318287849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393318294094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393318297574
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393318487068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393318490203
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393319499412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393319504332
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393319513102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393319518262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393319518692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393319525267
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393319534202
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393319534217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393319583790
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393319590005
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393319609380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393319612755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393320857941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393320861396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393320862296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393320862861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393320864741
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393320866611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393320866766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393320872026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393320891106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393320894861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393320911559
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393322670744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393322670824
